"SampleID",SampleType,SampleSource,Host/SampleName,CollectionDate,CollectorName,CollectionMethod,CollectionDepth_cm,Latitude,Longitude,Elevation,DNAExtractionProtocol,ExtractorName,ExtractionDate,FwdPrimer,RevPrimer,AmplicationDate,LibraryPrepDate,DNAConcentration [ng/uL],LibraryMethod,FwdBarcode,RevBarcode,Library-Run_Name,SampleDescription,Project_Name,Plate,PlateLocation,SequencingRun_Name,Burned,BurnYear,Diet,ActivityLevel,Age,Gender,Ethnicity,WeeklyChewTobacco,WeeklyAlcohol,WeeklyCigarettes,WeeklyVape,WeeklyDrugs
"OF151",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A505,i7_A706,,Oral_Mycobiome_OF151,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,22,Female,Caucasian,0,0,0,0,0
"OF007",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B507,i7_A701,,Oral_Mycobiome_OF007,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,19,Male,Caucasian,0,0,0,0,0
"OF076",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A712,,Oral_Mycobiome_OF076,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,24,Male,Caucasian,0,0,0,0,0
"OF214",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A705,,Oral_Mycobiome_OF214,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,26,Male,Caucasian,0,0,0,0,0
"OF169",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A708,,Oral_Mycobiome_OF169,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,20,Female,NativeAmerican,0,0,0,0,0
"OF134",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A701,,Oral_Mycobiome_OF134,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,20,Female,Caucasian,0,0,0,0,0
"OF170",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A709,,Oral_Mycobiome_OF170,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,21,Male,Caucasian,0,0,0,0,0
"OF126",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A701,,Oral_Mycobiome_OF126,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,19,Female,Caucasian,0,0,0,0,0
"OF202",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A710,,Oral_Mycobiome_OF202,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,36,Female,Caucasian,0,3,0,0,0
"OF142",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A711,,Oral_Mycobiome_OF142,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Vegetarian,3-4,26,Male,Asian,0,3,0,0,0
"OF194",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A703,,Oral_Mycobiome_OF194,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,21,Male,Caucasian,0,0,0,0,0
"OF029",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A711,,Oral_Mycobiome_OF029,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,20,Female,Caucasian,0,0,0,0,0
"OF048",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A707,,Oral_Mycobiome_OF048,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,20,Female,Hispanic,0,1,0,5,7
"OF177",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A702,,Oral_Mycobiome_OF177,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,27,Male,Caucasian,0,0,0,0,0
"OF211",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A703,,Oral_Mycobiome_OF211,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,34,Male,AfricanAmerican,0,0,0,0,0
"OF107",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A504,i7_A701,,Oral_Mycobiome_OF107,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,21,Male,Caucasian,0,0,0,0,0
"OF223",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A507,i7_A701,,Oral_Mycobiome_OF223,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,19,Male,Caucasian,0,0,0,0,0
"OF098",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A706,,Oral_Mycobiome_OF098,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,26,Male,Caucasian,0,0,0,0,0
"OF200",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A707,,Oral_Mycobiome_OF200,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,0,25,Female,Caucasian,0,0,0,0,0
"OF089",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A702,,Oral_Mycobiome_OF089,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,25,Female,Hispanic,0,0,0,0,0
"OF206",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A505,i7_A701,,Oral_Mycobiome_OF206,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,25,Female,Caucasian,0,0,0,0,0
"OF195",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A702,,Oral_Mycobiome_OF195,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,23,Male,Caucasian,0,0,0,0,0
"OF236",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,NA,,,2-Step PCR,NA,NA,,Oral_Mycobiome_OF236,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,19,Female,PacificIslander,0,0,0,0,0
"OF222",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-31,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A712,,Oral_Mycobiome_OF222,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,22,Female,Caucasian,0,0,0,0,0
"OF193",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-08-01,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A703,,Oral_Mycobiome_OF193,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,24,Male,Caucasian,0,0,0,0,0
"OF025",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-08-02,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A506,i7_A701,,Oral_Mycobiome_OF025,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,38,Male,PacificIslander,4,0,0,0,0
"OF166",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-08-03,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A708,,Oral_Mycobiome_OF166,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,21,Male,Hispanic,0,0,0,0,0
"OF125",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-08-04,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A502,i7_A710,,Oral_Mycobiome_OF125,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,20,Female,Caucasian,0,0,0,0,0
"WS-1-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23410343,36.06571648,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S502,i7_A701,,Woolsey_Wet_Prairie_WS_1.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-1-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23405722,36.06576949,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S503,i7_A701,,Woolsey_Wet_Prairie_WS_1.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-1-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.2340157,36.06577177,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S505,i7_A701,,Woolsey_Wet_Prairie_WS_1.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-1-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23418015,36.0658188,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S507,i7_A701,,Woolsey_Wet_Prairie_WS_1.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-1-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23410468,36.06584932,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S508,i7_A701,,Woolsey_Wet_Prairie_WS_1.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-2-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23422843,36.06586428,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S510,i7_A701,,Woolsey_Wet_Prairie_WS_2.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-2-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23415139,36.06587111,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S511,i7_A701,,Woolsey_Wet_Prairie_WS_2.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-2-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23429717,36.06597562,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S513,i7_A701,,Woolsey_Wet_Prairie_WS_2.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-2-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23414689,36.06600079,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S502,i7_A702,,Woolsey_Wet_Prairie_WS_2.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-2-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23403395,36.06602229,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S503,i7_A702,,Woolsey_Wet_Prairie_WS_2.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-3-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23442577,36.06589736,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S505,i7_A702,,Woolsey_Wet_Prairie_WS_3.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-3-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23436227,36.06590523,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S507,i7_A702,,Woolsey_Wet_Prairie_WS_3.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-3-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23452778,36.06597083,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S508,i7_A702,,Woolsey_Wet_Prairie_WS_3.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-3-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23448112,36.06599899,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S510,i7_A702,,Woolsey_Wet_Prairie_WS_3.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-3-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23438055,36.06596997,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S511,i7_A702,,Woolsey_Wet_Prairie_WS_3.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-4-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23404428,36.06624063,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S513,i7_A702,,Woolsey_Wet_Prairie_WS_4.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-4-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23405611,36.06617313,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S502,i7_A703,,Woolsey_Wet_Prairie_WS_4.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-4-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23407908,36.0661305,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S503,i7_A703,,Woolsey_Wet_Prairie_WS_4.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-4-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23420233,36.06611855,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S505,i7_A703,,Woolsey_Wet_Prairie_WS_4.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-4-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23417143,36.0661702,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S507,i7_A703,,Woolsey_Wet_Prairie_WS_4.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-5-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23429467,36.06614293,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S508,i7_A703,,Woolsey_Wet_Prairie_WS_5.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-5-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23429278,36.06609553,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S510,i7_A703,,Woolsey_Wet_Prairie_WS_5.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-5-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23436489,36.0661064,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S511,i7_A703,,Woolsey_Wet_Prairie_WS_5.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-5-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23435658,36.06616866,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S513,i7_A703,,Woolsey_Wet_Prairie_WS_5.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-5-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23449451,36.06608295,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S502,i7_A704,,Woolsey_Wet_Prairie_WS_5.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-6-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23451969,36.06609271,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S503,i7_A704,,Woolsey_Wet_Prairie_WS_6.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-6-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23466227,36.06607313,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S505,i7_A704,,Woolsey_Wet_Prairie_WS_6.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-6-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.2347559,36.06612343,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_S507,i7_A704,,Woolsey_Wet_Prairie_WS_6.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
